gameid,league,year,date,game,side,position,playername,teamname,champion,result
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,bot,HolyPhoenix,Dark Passage,Jinx,0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,sup,Touch,Dark Passage,Thresh,0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,top,Looper,Samsung White,Ryze,1
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,jng,DanDy,Samsung White,Lee Sin,1
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,mid,PawN,Samsung White,Talon,1
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,bot,imp,Samsung White,Vayne,1
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Red,sup,Mata,Samsung White,Janna,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,top,Dyrus,TSM,Rumble,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,jng,Amazing,TSM,Lee Sin,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,mid,Bjergsen,TSM,Xerath,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,bot,WildTurtle,TSM,Kog'Maw,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Blue,sup,Lustboy,TSM,Janna,1
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,top,Achie,Taipei Assassins,Lulu,0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,jng,Winds,Taipei Assassins,Rengar,0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,mid,Morning,Taipei Assassins,Orianna,0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,bot,BeBe,Taipei Assassins,Tristana,0
TRLH3/1000430112,WLDs,2014,2014-09-19 13:15:17,1.0,Red,sup,Chieh,Taipei Assassins,Leona,0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,top,Korol,EDward Gaming,Maokai,1
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,jng,Clearlove,EDward Gaming,Rengar,1
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,mid,U,EDward Gaming,Zed,1
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,bot,NaMei,EDward Gaming,Twitch,1
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Blue,sup,FZZF,EDward Gaming,Thresh,1
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,mid,Westdoor,ahq eSports Club,Talon,0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,bot,GarnetDevil,ahq eSports Club,Lucian,0
TRLH3/1000430120,WLDs,2014,2014-09-19 14:19:56,1.0,Red,sup,GreenTea,ahq eSports Club,Blitzcrank,0
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Blue,top,Looper,Samsung White,Alistar,1
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Blue,jng,DanDy,Samsung White,Kha'Zix,1
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Blue,mid,PawN,Samsung White,Zed,1
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Blue,bot,imp,Samsung White,Corki,1
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Blue,sup,Mata,Samsung White,Janna,1
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Red,top,fabFabulous,Dark Passage,Ryze,0
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Red,jng,Crystal,Dark Passage,Lee Sin,0
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Red,mid,Naru,Dark Passage,Fizz,0
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Red,bot,HolyPhoenix,Dark Passage,Ezreal,0
TRLH3/1000430136,WLDs,2014,2014-09-20 09:00:00,1.0,Red,sup,Touch,Dark Passage,Braum,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Blue,top,fredy122,SK Gaming,Maokai,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Blue,jng,Svenskeren,SK Gaming,Lee Sin,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Blue,mid,Jesiz,SK Gaming,Ahri,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Blue,bot,CandyPanda,SK Gaming,Kog'Maw,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Blue,sup,nRated,SK Gaming,Kayle,0
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Red,top,Cola,Royal Club,Irelia,1
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Red,jng,inSec,Royal Club,Rengar,1
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Red,mid,Corn,Royal Club,Orianna,1
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Red,bot,Uzi,Royal Club,Vayne,1
TRLH3/1000430139,WLDs,2014,2014-09-20 09:51:43,1.0,Red,sup,Zero,Royal Club,Janna,1
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Blue,top,Prydz,ahq eSports Club,Ryze,0
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Blue,jng,Naz,ahq eSports Club,Lee Sin,0
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Blue,mid,Westdoor,ahq eSports Club,Twisted Fate,0
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Blue,bot,GarnetDevil,ahq eSports Club,Jinx,0
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Blue,sup,GreenTea,ahq eSports Club,Blitzcrank,0
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Red,top,Looper,Samsung White,Kayle,1
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Red,jng,DanDy,Samsung White,Kha'Zix,1
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Red,mid,PawN,Samsung White,Katarina,1
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Red,bot,imp,Samsung White,Lucian,1
TRLH3/1000420135,WLDs,2014,2014-09-20 10:52:13,1.0,Red,sup,Mata,Samsung White,Thresh,1
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Blue,top,Achie,Taipei Assassins,Maokai,0
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Blue,jng,Winds,Taipei Assassins,Kha'Zix,0
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Blue,mid,Morning,Taipei Assassins,Yasuo,0
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Blue,bot,BeBe,Taipei Assassins,Twitch,0
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Blue,sup,Chieh,Taipei Assassins,Thresh,0
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Red,top,Dyrus,TSM,Lulu,1
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Red,jng,Amazing,TSM,Lee Sin,1
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Red,mid,Bjergsen,TSM,Orianna,1
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Red,bot,WildTurtle,TSM,Tristana,1
TRLH3/1000420142,WLDs,2014,2014-09-20 11:49:40,1.0,Red,sup,Lustboy,TSM,Braum,1
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Blue,top,fabFabulous,Dark Passage,Ryze,0
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Blue,jng,Crystal,Dark Passage,Pantheon,0
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Blue,mid,Naru,Dark Passage,Jayce,0
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Blue,bot,HolyPhoenix,Dark Passage,Lucian,0
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Blue,sup,Touch,Dark Passage,Braum,0
TRLH3/1000420149,WLDs,2014,2014-09-20 12:48:58,1.0,Red,top,Korol,EDward Gaming,Irelia,1
