gameid,league,year,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstbloodkill,firstbloodvictim
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,sup,Zero,Royal Club,Nami,Alistar,Nidalee,Zilean,3394,1,0,2,9,15,10,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,top,Looper,Samsung White,Maokai,Fizz,Lucian,Zed,1351,1,3,2,20,34,12,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,jng,DanDy,Samsung White,Lee Sin,Fizz,Lucian,Zed,1351,1,11,3,13,34,12,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,mid,PawN,Samsung White,Yasuo,Fizz,Lucian,Zed,1351,1,9,1,7,34,12,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,bot,imp,Samsung White,Twitch,Fizz,Lucian,Zed,1351,1,11,1,9,34,12,1.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,sup,Mata,Samsung White,Thresh,Fizz,Lucian,Zed,1351,1,0,5,15,34,12,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,Alistar,Ryze,Zilean,1351,0,2,9,5,12,34,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,Alistar,Ryze,Zilean,1351,0,1,5,3,12,34,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,mid,Westdoor,ahq eSports Club,Twisted Fate,Alistar,Ryze,Zilean,1351,0,5,7,4,12,34,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,bot,GarnetDevil,ahq eSports Club,Jinx,Alistar,Ryze,Zilean,1351,0,3,6,4,12,34,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Red,sup,GreenTea,ahq eSports Club,Blitzcrank,Alistar,Ryze,Zilean,1351,0,1,7,8,12,34,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,top,Cola,Royal Club,Irelia,Maokai,Nidalee,Alistar,1833,1,8,1,12,25,5,1.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,jng,inSec,Royal Club,Rengar,Maokai,Nidalee,Alistar,1833,1,3,2,11,25,5,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,mid,Corn,Royal Club,Zilean,Maokai,Nidalee,Alistar,1833,1,4,1,11,25,5,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,bot,Uzi,Royal Club,Tristana,Maokai,Nidalee,Alistar,1833,1,10,1,10,25,5,3.0,1.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Blue,sup,Zero,Royal Club,Janna,Maokai,Nidalee,Alistar,1833,1,0,0,19,25,5,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,top,Dyrus,TSM,Ryze,Fizz,Lee Sin,Lucian,1833,0,1,7,1,5,25,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,jng,Amazing,TSM,Elise,Fizz,Lee Sin,Lucian,1833,0,1,5,2,5,25,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,mid,Bjergsen,TSM,Zed,Fizz,Lee Sin,Lucian,1833,0,2,4,1,5,25,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,bot,WildTurtle,TSM,Corki,Fizz,Lee Sin,Lucian,1833,0,1,4,2,5,25,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430058,WLDs,2014,2014-09-18 14:50:18,1.0,Red,sup,Lustboy,TSM,Nami,Fizz,Lee Sin,Lucian,1833,0,0,5,3,5,25,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,top,Achie,Taipei Assassins,Ryze,Nidalee,Aatrox,Maokai,2637,1,2,2,9,17,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,jng,Winds,Taipei Assassins,Kha'Zix,Nidalee,Aatrox,Maokai,2637,1,5,2,7,17,15,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,mid,Morning,Taipei Assassins,Syndra,Nidalee,Aatrox,Maokai,2637,1,3,5,7,17,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,bot,BeBe,Taipei Assassins,Lucian,Nidalee,Aatrox,Maokai,2637,1,6,3,10,17,15,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Blue,sup,Chieh,Taipei Assassins,Janna,Nidalee,Aatrox,Maokai,2637,1,1,3,11,17,15,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,Zilean,Alistar,Lee Sin,2637,0,5,2,4,15,17,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,jng,Gilius,SK Gaming,Jarvan IV,Zilean,Alistar,Lee Sin,2637,0,0,5,12,15,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,mid,Jesiz,SK Gaming,Ahri,Zilean,Alistar,Lee Sin,2637,0,6,4,3,15,17,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,bot,CandyPanda,SK Gaming,Tristana,Zilean,Alistar,Lee Sin,2637,0,3,2,6,15,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420071,WLDs,2014,2014-09-19 09:00:49,1.0,Red,sup,nRated,SK Gaming,Sona,Zilean,Alistar,Lee Sin,2637,0,1,4,9,15,17,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,top,Korol,EDward Gaming,Maokai,Nidalee,Alistar,Syndra,1995,1,2,0,8,17,2,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,jng,Clearlove,EDward Gaming,Rengar,Nidalee,Alistar,Syndra,1995,1,3,1,9,17,2,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,mid,U,EDward Gaming,Orianna,Nidalee,Alistar,Syndra,1995,1,8,0,4,17,2,2.0,1.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,bot,NaMei,EDward Gaming,Kog'Maw,Nidalee,Alistar,Syndra,1995,1,4,0,8,17,2,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Blue,sup,FZZF,EDward Gaming,Janna,Nidalee,Alistar,Syndra,1995,1,0,1,11,17,2,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,top,fabFabulous,Dark Passage,Kha'Zix,Twitch,Zilean,Ryze,1995,0,1,1,0,2,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,jng,Crystal,Dark Passage,Nunu & Willump,Twitch,Zilean,Ryze,1995,0,0,5,2,2,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,mid,Naru,Dark Passage,Xerath,Twitch,Zilean,Ryze,1995,0,0,2,0,2,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,bot,HolyPhoenix,Dark Passage,Lucian,Twitch,Zilean,Ryze,1995,0,1,4,1,2,17,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000420074,WLDs,2014,2014-09-19 10:11:46,1.0,Red,sup,Touch,Dark Passage,Thresh,Twitch,Zilean,Ryze,1995,0,0,5,2,2,17,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,top,Cola,Royal Club,Ryze,Nidalee,Aatrox,Maokai,1986,1,5,4,7,26,12,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,jng,inSec,Royal Club,Lee Sin,Nidalee,Aatrox,Maokai,1986,1,4,3,7,26,12,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,mid,Corn,Royal Club,Yasuo,Nidalee,Aatrox,Maokai,1986,1,4,1,10,26,12,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,bot,Uzi,Royal Club,Tristana,Nidalee,Aatrox,Maokai,1986,1,13,1,5,26,12,3.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Blue,sup,Zero,Royal Club,Janna,Nidalee,Aatrox,Maokai,1986,1,0,3,21,26,12,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,Rengar,Alistar,Zed,1986,0,4,4,2,12,26,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,jng,Gilius,SK Gaming,Kha'Zix,Rengar,Alistar,Zed,1986,0,4,8,3,12,26,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,mid,Jesiz,SK Gaming,Syndra,Rengar,Alistar,Zed,1986,0,3,6,5,12,26,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,bot,CandyPanda,SK Gaming,Twitch,Rengar,Alistar,Zed,1986,0,1,5,6,12,26,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000420080,WLDs,2014,2014-09-19 11:17:24,1.0,Red,sup,nRated,SK Gaming,Zilean,Rengar,Alistar,Zed,1986,0,0,3,7,12,26,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,top,fabFabulous,Dark Passage,Alistar,Yasuo,Zilean,Tristana,1408,0,0,2,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,jng,Crystal,Dark Passage,Kha'Zix,Yasuo,Zilean,Tristana,1408,0,0,3,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,mid,Naru,Dark Passage,Orianna,Yasuo,Zilean,Tristana,1408,0,0,3,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,bot,HolyPhoenix,Dark Passage,Jinx,Yasuo,Zilean,Tristana,1408,0,0,4,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430107,WLDs,2014,2014-09-19 12:19:27,1.0,Blue,sup,Touch,Dark Passage,Thresh,Yasuo,Zilean,Tristana,1408,0,0,3,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
