ime_ekipe,ime_igralca,tip,leto
G2 Esports,Expect,WLDs,2017
G2 Esports,Trick,WLDs,2017
G2 Esports,Perkz,WLDs,2017
G2 Esports,Zven,WLDs,2017
G2 Esports,Mithy,WLDs,2017
Samsung Galaxy,CuVee,WLDs,2017
Samsung Galaxy,Ambition,WLDs,2017
Samsung Galaxy,Crown,WLDs,2017
Samsung Galaxy,Ruler,WLDs,2017
Samsung Galaxy,CoreJJ,WLDs,2017
Longzhu Gaming,Khan,WLDs,2017
Longzhu Gaming,Cuzz,WLDs,2017
Longzhu Gaming,Bdd,WLDs,2017
Longzhu Gaming,PraY,WLDs,2017
Longzhu Gaming,GorillA,WLDs,2017
Immortals,Flame,WLDs,2017
Immortals,Xmithie,WLDs,2017
Immortals,Pobelter,WLDs,2017
Immortals,Cody Sun,WLDs,2017
Immortals,Olleh,WLDs,2017
GAM Esports,Archie,WLDs,2017
GAM Esports,Levi,WLDs,2017
GAM Esports,Optimus,WLDs,2017
GAM Esports,Noway,WLDs,2017
GAM Esports,Nevan,WLDs,2017
SK Telecom T1,Huni,WLDs,2017
SK Telecom T1,Peanut,WLDs,2017
SK Telecom T1,Faker,WLDs,2017
SK Telecom T1,Bang,WLDs,2017
SK Telecom T1,Wolf,WLDs,2017
EDward Gaming,Mouse,WLDs,2017
EDward Gaming,Clearlove,WLDs,2017
EDward Gaming,Scout,WLDs,2017
EDward Gaming,iBoy,WLDs,2017
EDward Gaming,Meiko,WLDs,2017
ahq eSports Club,Ziv,WLDs,2017
ahq eSports Club,Mountain,WLDs,2017
ahq eSports Club,Westdoor,WLDs,2017
ahq eSports Club,An,WLDs,2017
ahq eSports Club,Albis,WLDs,2017
Flash Wolves,MMD,WLDs,2017
Flash Wolves,Karsa,WLDs,2017
Flash Wolves,Maple,WLDs,2017
Flash Wolves,Betty,WLDs,2017
Flash Wolves,SwordArt,WLDs,2017
TSM,Hauntzer,WLDs,2017
TSM,Svenskeren,WLDs,2017
TSM,Bjergsen,WLDs,2017
TSM,Doublelift,WLDs,2017
TSM,Biofrost,WLDs,2017
Misfits Gaming,Alphari,WLDs,2017
Misfits Gaming,Maxlore,WLDs,2017
Misfits Gaming,PowerOfEvil,WLDs,2017
Misfits Gaming,Hans Sama,WLDs,2017
Misfits Gaming,IgNar,WLDs,2017
ahq eSports Club,Chawy,WLDs,2017
Samsung Galaxy,Haru,WLDs,2017
GAM Esports,Sya,WLDs,2017
Longzhu Gaming,Rascal,WLDs,2017
SK Telecom T1,Blank,WLDs,2017
Gambit Esports,PvPStejos,MSI,2018
Gambit Esports,Diamondprox,MSI,2018
Gambit Esports,Kira,MSI,2018
Gambit Esports,Lodik,MSI,2018
Gambit Esports,Edward,MSI,2018
Kaos Latin Gamers,Nate,MSI,2018
Kaos Latin Gamers,Tierwulf,MSI,2018
Kaos Latin Gamers,Plugo,MSI,2018
Kaos Latin Gamers,Fix,MSI,2018
Kaos Latin Gamers,Slow,MSI,2018
Rainbow7,Jirall,MSI,2018
Rainbow7,Oddie,MSI,2018
Rainbow7,Seiya,MSI,2018
Rainbow7,WhiteLotus,MSI,2018
Rainbow7,Genthix,MSI,2018
Ascension Gaming,Rockky,MSI,2018
Ascension Gaming,InTreso,MSI,2018
Ascension Gaming,G4,MSI,2018
Ascension Gaming,Lloyd,MSI,2018
Ascension Gaming,Rich,MSI,2018
SuperMassive Esports,fabFabulous,MSI,2018
SuperMassive Esports,Stomaged,MSI,2018
SuperMassive Esports,GBM,MSI,2018
SuperMassive Esports,Zeitnot,MSI,2018
SuperMassive Esports,SnowFlower,MSI,2018
Dire Wolves,Chippys,MSI,2018
Dire Wolves,Shernfire,MSI,2018
Dire Wolves,Triple,MSI,2018
Dire Wolves,k1ng,MSI,2018
Dire Wolves,Cupcake,MSI,2018
KaBuM! e-Sports,Zantins,MSI,2018
KaBuM! e-Sports,Ranger,MSI,2018
KaBuM! e-Sports,dyNquedo,MSI,2018
KaBuM! e-Sports,TitaN,MSI,2018
KaBuM! e-Sports,Riyev,MSI,2018
PENTAGRAM,Paz,MSI,2018
PENTAGRAM,Once,MSI,2018
PENTAGRAM,Ramune,MSI,2018
PENTAGRAM,Moyashi,MSI,2018
PENTAGRAM,Gaeng,MSI,2018
EVOS Esports,Stark,MSI,2018
EVOS Esports,Yijin,MSI,2018
EVOS Esports,Warzone,MSI,2018
EVOS Esports,Slay,MSI,2018
EVOS Esports,RonOP,MSI,2018
Flash Wolves,Hanabi,MSI,2018
Flash Wolves,MooJin,MSI,2018
Flash Wolves,Maple,MSI,2018
Flash Wolves,Betty,MSI,2018
Flash Wolves,SwordArt,MSI,2018
Fnatic,Bwipo,MSI,2018
Fnatic,Broxah,MSI,2018
Fnatic,Caps,MSI,2018
Fnatic,Rekkles,MSI,2018
Fnatic,Hylissang,MSI,2018
Royal Never Give Up,Letme,MSI,2018
Royal Never Give Up,Mlxg,MSI,2018
Royal Never Give Up,Xiaohu,MSI,2018
Royal Never Give Up,Uzi,MSI,2018
Royal Never Give Up,Ming,MSI,2018
Kingzone DragonX,Khan,MSI,2018
Kingzone DragonX,Peanut,MSI,2018
Kingzone DragonX,Bdd,MSI,2018
Kingzone DragonX,PraY,MSI,2018
Kingzone DragonX,GorillA,MSI,2018
Team Liquid,Impact,MSI,2018
Team Liquid,Xmithie,MSI,2018
Team Liquid,Pobelter,MSI,2018
Team Liquid,Doublelift,MSI,2018
Team Liquid,Olleh,MSI,2018
Team Liquid,Joey,MSI,2018
Fnatic,sOAZ,MSI,2018
Royal Never Give Up,Karsa,MSI,2018
Kingzone DragonX,Cuzz,MSI,2018
Cloud9,Licorice,WLDs,2018
Cloud9,Blaber,WLDs,2018
Cloud9,Jensen,WLDs,2018
Cloud9,Sneaky,WLDs,2018
Cloud9,Zeyzal,WLDs,2018
KaBuM! e-Sports,Zantins,WLDs,2018
KaBuM! e-Sports,Ranger,WLDs,2018
KaBuM! e-Sports,dyNquedo,WLDs,2018
KaBuM! e-Sports,TitaN,WLDs,2018
KaBuM! e-Sports,Riyev,WLDs,2018
Gambit Esports,PvPStejos,WLDs,2018
Gambit Esports,Diamondprox,WLDs,2018
Gambit Esports,Kira,WLDs,2018
Gambit Esports,Lodik,WLDs,2018
Gambit Esports,Edward,WLDs,2018
G-Rex,PK,WLDs,2018
G-Rex,Empt2y,WLDs,2018
G-Rex,Candy,WLDs,2018
G-Rex,Stitch,WLDs,2018
G-Rex,Koala,WLDs,2018
DetonatioN FocusMe,Evi,WLDs,2018
DetonatioN FocusMe,Steal,WLDs,2018
DetonatioN FocusMe,Ceros,WLDs,2018
DetonatioN FocusMe,Yutapon,WLDs,2018
DetonatioN FocusMe,viviD,WLDs,2018
Kaos Latin Gamers,Nate,WLDs,2018
Kaos Latin Gamers,Tierwulf,WLDs,2018
Kaos Latin Gamers,Plugo,WLDs,2018
Kaos Latin Gamers,Fix,WLDs,2018
Kaos Latin Gamers,Slow,WLDs,2018
EDward Gaming,Ray,WLDs,2018
EDward Gaming,Clearlove,WLDs,2018
EDward Gaming,Scout,WLDs,2018
EDward Gaming,iBoy,WLDs,2018
EDward Gaming,Meiko,WLDs,2018
Infinity Esports,Relic,WLDs,2018
Infinity Esports,SolidSnake,WLDs,2018
Infinity Esports,Cotopaco,WLDs,2018
Infinity Esports,Renn,WLDs,2018
Infinity Esports,Arce,WLDs,2018
G2 Esports,Wunder,WLDs,2018
G2 Esports,Jankos,WLDs,2018
G2 Esports,Perkz,WLDs,2018
G2 Esports,Hjarnan,WLDs,2018
G2 Esports,Wadid,WLDs,2018
SuperMassive Esports,fabFabulous,WLDs,2018
SuperMassive Esports,Stomaged,WLDs,2018
SuperMassive Esports,GBM,WLDs,2018
SuperMassive Esports,Zeitnot,WLDs,2018
SuperMassive Esports,SnowFlower,WLDs,2018
Dire Wolves,BioPanther,WLDs,2018
Dire Wolves,Udysof,WLDs,2018
Dire Wolves,Triple,WLDs,2018
Dire Wolves,k1ng,WLDs,2018
Dire Wolves,Cupcake,WLDs,2018
Ascension Gaming,Rockky,WLDs,2018
Ascension Gaming,Lloyd,WLDs,2018
Ascension Gaming,G4,WLDs,2018
Ascension Gaming,Niksar,WLDs,2018
Ascension Gaming,Rich,WLDs,2018
EDward Gaming,Haro,WLDs,2018
Dire Wolves,Shernfire,WLDs,2018
Cloud9,Svenskeren,WLDs,2018
KT Rolster,Smeb,WLDs,2018
KT Rolster,Score,WLDs,2018
KT Rolster,ucal,WLDs,2018
KT Rolster,Deft,WLDs,2018
KT Rolster,Mata,WLDs,2018
Team Liquid,Impact,WLDs,2018
Team Liquid,Xmithie,WLDs,2018
Team Liquid,Pobelter,WLDs,2018
Team Liquid,Doublelift,WLDs,2018
Team Liquid,Olleh,WLDs,2018
MAD Team,Liang,WLDs,2018
MAD Team,Kongyue,WLDs,2018
MAD Team,Uniboy,WLDs,2018
MAD Team,Breeze,WLDs,2018
MAD Team,K,WLDs,2018
Phong Vũ Buffalo,Zeros,WLDs,2018
Phong Vũ Buffalo,Meliodas,WLDs,2018
Phong Vũ Buffalo,Naul,WLDs,2018
Phong Vũ Buffalo,Bigkoro,WLDs,2018
Phong Vũ Buffalo,Palette,WLDs,2018
Flash Wolves,Hanabi,WLDs,2018
Flash Wolves,MooJin,WLDs,2018
Flash Wolves,Maple,WLDs,2018
Flash Wolves,Betty,WLDs,2018
Flash Wolves,SwordArt,WLDs,2018
