tip,leto,datum,cas,st_igre,ime_ekipe,zmaga
WLDs,2015,2015-10-04,16:39:21,1.0,ROX Tigers,1
WLDs,2015,2015-10-04,16:39:21,1.0,Counter Logic Gaming,0
WLDs,2015,2015-10-04,17:37:50,1.0,paiN Gaming,1
WLDs,2015,2015-10-04,17:37:50,1.0,Flash Wolves,0
WLDs,2015,2015-10-08,11:49:52,1.0,Counter Logic Gaming,0
WLDs,2015,2015-10-08,11:49:52,1.0,ROX Tigers,1
WLDs,2015,2015-10-08,12:46:01,1.0,Flash Wolves,1
WLDs,2015,2015-10-08,12:46:01,1.0,paiN Gaming,0
WLDs,2015,2015-10-08,14:03:18,1.0,ROX Tigers,1
WLDs,2015,2015-10-08,14:03:18,1.0,paiN Gaming,0
WLDs,2015,2015-10-08,15:01:06,1.0,Flash Wolves,1
WLDs,2015,2015-10-08,15:01:06,1.0,Counter Logic Gaming,0
WLDs,2015,2015-10-08,16:05:56,1.0,ROX Tigers,0
WLDs,2015,2015-10-08,16:05:56,1.0,Flash Wolves,1
WLDs,2015,2015-10-08,17:05:43,1.0,paiN Gaming,1
WLDs,2015,2015-10-08,17:05:43,1.0,Counter Logic Gaming,0
WLDs,2015,2015-10-09,11:59:31,1.0,SK Telecom T1,1
WLDs,2015,2015-10-09,11:59:31,1.0,EDward Gaming,0
WLDs,2015,2015-10-09,12:48:47,1.0,Bangkok Titans,0
WLDs,2015,2015-10-09,12:48:47,1.0,H2k-Gaming,1
WLDs,2015,2015-10-09,13:50:11,1.0,Bangkok Titans,0
WLDs,2015,2015-10-09,13:50:11,1.0,EDward Gaming,1
WLDs,2015,2015-10-09,14:52:25,1.0,H2k-Gaming,0
WLDs,2015,2015-10-09,14:52:25,1.0,SK Telecom T1,1
WLDs,2015,2015-10-09,16:09:04,1.0,EDward Gaming,1
WLDs,2015,2015-10-09,16:09:04,1.0,H2k-Gaming,0
WLDs,2015,2015-10-09,17:07:37,1.0,SK Telecom T1,1
WLDs,2015,2015-10-09,17:07:37,1.0,Bangkok Titans,0
WLDs,2015,2015-10-10,09:46:10,1.0,TSM,0
WLDs,2015,2015-10-10,09:46:10,1.0,Origen,1
WLDs,2015,2015-10-10,11:20:12,1.0,KT Rolster,1
WLDs,2015,2015-10-10,11:20:12,1.0,LGD Gaming,0
WLDs,2015,2015-10-10,12:31:13,1.0,TSM,0
WLDs,2015,2015-10-10,12:31:13,1.0,KT Rolster,1
WLDs,2015,2015-10-10,14:08:09,1.0,Origen,0
WLDs,2015,2015-10-10,14:08:09,1.0,LGD Gaming,1
WLDs,2015,2015-10-10,14:53:51,1.0,Origen,0
WLDs,2015,2015-10-10,14:53:51,1.0,KT Rolster,1
WLDs,2015,2015-10-10,16:02:44,1.0,LGD Gaming,1
WLDs,2015,2015-10-10,16:02:44,1.0,TSM,0
WLDs,2015,2015-10-11,07:51:37,1.0,ahq eSports Club,1
WLDs,2015,2015-10-11,07:51:37,1.0,Invictus Gaming,0
WLDs,2015,2015-10-11,08:55:20,1.0,Fnatic,1
WLDs,2015,2015-10-11,08:55:20,1.0,Cloud9,0
WLDs,2015,2015-10-11,09:58:37,1.0,ahq eSports Club,1
WLDs,2015,2015-10-11,09:58:37,1.0,Cloud9,0
WLDs,2015,2015-10-11,10:42:06,1.0,Invictus Gaming,0
WLDs,2015,2015-10-11,10:42:06,1.0,Fnatic,1
WLDs,2015,2015-10-11,11:32:42,1.0,Cloud9,0
WLDs,2015,2015-10-11,11:32:42,1.0,Invictus Gaming,1
WLDs,2015,2015-10-11,12:47:04,1.0,Fnatic,1
WLDs,2015,2015-10-11,12:47:04,1.0,ahq eSports Club,0
WLDs,2015,2015-10-11,14:12:45,1.0,Cloud9,0
WLDs,2015,2015-10-11,14:12:45,1.0,ahq eSports Club,1
WLDs,2015,2015-10-15,15:43:10,1.0,Flash Wolves,0
WLDs,2015,2015-10-15,15:43:10,1.0,Origen,1
WLDs,2015,2015-10-15,17:15:22,2.0,Origen,1
WLDs,2015,2015-10-15,17:15:22,2.0,Flash Wolves,0
WLDs,2015,2015-10-15,18:20:12,3.0,Flash Wolves,1
WLDs,2015,2015-10-15,18:20:12,3.0,Origen,0
WLDs,2015,2015-10-15,19:24:02,4.0,Origen,1
WLDs,2015,2015-10-15,19:24:02,4.0,Flash Wolves,0
WLDs,2015,2015-10-16,15:34:50,1.0,SK Telecom T1,1
WLDs,2015,2015-10-16,15:34:50,1.0,ahq eSports Club,0
WLDs,2015,2015-10-16,17:05:47,2.0,ahq eSports Club,0
WLDs,2015,2015-10-16,17:05:47,2.0,SK Telecom T1,1
WLDs,2015,2015-10-16,17:55:13,3.0,SK Telecom T1,1
WLDs,2015,2015-10-16,17:55:13,3.0,ahq eSports Club,0
WLDs,2015,2015-10-17,12:42:27,1.0,Fnatic,1
WLDs,2015,2015-10-17,12:42:27,1.0,EDward Gaming,0
WLDs,2015,2015-10-17,15:35:45,2.0,EDward Gaming,0
WLDs,2015,2015-10-17,15:35:45,2.0,Fnatic,1
WLDs,2015,2015-10-17,16:23:42,3.0,Fnatic,1
WLDs,2015,2015-10-17,16:23:42,3.0,EDward Gaming,0
WLDs,2015,2015-10-18,12:53:37,1.0,KT Rolster,1
WLDs,2015,2015-10-18,12:53:37,1.0,ROX Tigers,0
WLDs,2015,2015-10-18,14:12:52,2.0,ROX Tigers,1
WLDs,2015,2015-10-18,14:12:52,2.0,KT Rolster,0
WLDs,2015,2015-10-18,15:15:43,3.0,KT Rolster,0
WLDs,2015,2015-10-18,15:15:43,3.0,ROX Tigers,1
WLDs,2015,2015-10-18,16:11:24,4.0,ROX Tigers,1
WLDs,2015,2015-10-18,16:11:24,4.0,KT Rolster,0
WLDs,2015,2015-10-24,14:00:30,1.0,SK Telecom T1,1
WLDs,2015,2015-10-24,14:00:30,1.0,Origen,0
WLDs,2015,2015-10-24,15:26:23,2.0,Origen,0
WLDs,2015,2015-10-24,15:26:23,2.0,SK Telecom T1,1
WLDs,2015,2015-10-24,16:26:14,3.0,SK Telecom T1,1
WLDs,2015,2015-10-24,16:26:14,3.0,Origen,0
WLDs,2015,2015-10-25,11:27:26,1.0,Fnatic,0
WLDs,2015,2015-10-25,11:27:26,1.0,ROX Tigers,1
WLDs,2015,2015-10-25,14:19:24,2.0,ROX Tigers,1
WLDs,2015,2015-10-25,14:19:24,2.0,Fnatic,0
WLDs,2015,2015-10-25,15:36:37,3.0,Fnatic,0
WLDs,2015,2015-10-25,15:36:37,3.0,ROX Tigers,1
WLDs,2015,2015-10-31,10:56:01,1.0,SK Telecom T1,1
WLDs,2015,2015-10-31,10:56:01,1.0,ROX Tigers,0
WLDs,2015,2015-10-31,12:50:43,2.0,ROX Tigers,0
WLDs,2015,2015-10-31,12:50:43,2.0,SK Telecom T1,1
WLDs,2015,2015-10-31,13:50:55,3.0,SK Telecom T1,0
WLDs,2015,2015-10-31,13:50:55,3.0,ROX Tigers,1
WLDs,2015,2015-10-31,14:52:21,4.0,ROX Tigers,0
WLDs,2015,2015-10-31,14:52:21,4.0,SK Telecom T1,1
MSI,2016,2016-05-04,05:08:36,1.0,Royal Never Give Up,1
MSI,2016,2016-05-04,05:08:36,1.0,Counter Logic Gaming,0
MSI,2016,2016-05-04,06:52:16,1.0,G2 Esports,0
MSI,2016,2016-05-04,06:52:16,1.0,Flash Wolves,1
MSI,2016,2016-05-04,08:08:47,1.0,SK Telecom T1,1
MSI,2016,2016-05-04,08:08:47,1.0,SuperMassive Esports,0
MSI,2016,2016-05-04,09:07:30,1.0,Counter Logic Gaming,1
MSI,2016,2016-05-04,09:07:30,1.0,Flash Wolves,0
MSI,2016,2016-05-04,10:20:26,1.0,G2 Esports,0
MSI,2016,2016-05-04,10:20:26,1.0,SK Telecom T1,1
MSI,2016,2016-05-04,11:11:37,1.0,SuperMassive Esports,0
MSI,2016,2016-05-04,11:11:37,1.0,Royal Never Give Up,1
MSI,2016,2016-05-05,05:03:22,1.0,Counter Logic Gaming,1
